source_center,destination_center,recommended_route_type,delay_ratio,sla_breach,trip_uuid
531,15,Carting,9.416666666666666,1.0,1
532,520,Carting,9.0,1.0,2
867,857,Carting,8.636363636363637,1.0,1
931,916,Carting,8.47887323943662,1.0,1
508,508,Carting,8.345554717613542,1.0,15
505,508,Carting,8.167582417582418,1.0,10
194,178,Carting,8.098039215686274,1.0,1
634,640,Carting,8.022449477413074,1.0,7
1152,945,Carting,8.01923076923077,1.0,2
507,508,Carting,8.002777777777778,1.0,3
915,9,Carting,7.125,1.0,1
1232,1202,Carting,6.989339218086123,1.0,19
1481,1437,Carting,6.971503043912582,1.0,37
310,304,Carting,6.953707798909037,1.0,3
748,742,Carting,6.777777777777778,1.0,1
8,690,FTL,6.755905511811024,1.0,1
1479,1437,Carting,6.733670434098066,1.0,10
672,666,Carting,6.7272727272727275,1.0,2
1480,1437,Carting,6.710349879914999,1.0,65
545,538,Carting,6.5921269955490605,1.0,25
854,847,Carting,6.58269056261343,1.0,3
1069,1056,Carting,6.458333333333333,1.0,1
213,208,Carting,6.421768707482992,1.0,14
1217,1201,Carting,6.402502760397498,1.0,5
1451,1432,Carting,6.36152081182499,1.0,54
943,925,Carting,6.293103448275862,1.0,2
1,1190,Carting,6.2857142857142865,1.0,4
651,2,Carting,6.25,1.0,1
1219,1292,FTL,6.241345153835745,1.0,4
239,242,Carting,6.230769230769231,1.0,1
1469,1437,Carting,6.206749014742373,1.0,4
919,899,Carting,6.163636363636364,1.0,1
1179,1169,Carting,6.095238095238095,1.0,1
1305,1297,Carting,6.055562224889956,1.0,7
220,237,Carting,6.015459656084656,1.0,4
1023,1009,Carting,6.0,1.0,2
502,500,Carting,5.89047619047619,1.0,3
116,135,Carting,5.843750347048697,1.0,3
348,340,Carting,5.8165266106442575,1.0,2
1250,1202,Carting,5.803305711485343,1.0,3
148,143,Carting,5.790445052428279,1.0,41
845,843,Carting,5.722482517482518,1.0,4
506,508,Carting,5.693998811645871,1.0,5
1439,1392,Carting,5.682915088383839,1.0,24
164,162,Carting,5.668952580150896,1.0,24
1210,1200,Carting,5.64775557297109,1.0,29
504,500,Carting,5.637254901960785,1.0,4
76,279,Carting,5.625,1.0,1
469,468,Carting,5.579009155096112,1.0,3
117,135,Carting,5.533737535423779,1.0,19
212,210,Carting,5.533029878618114,1.0,17
278,277,Carting,5.448916860916861,1.0,10
1085,1070,Carting,5.345160409122673,1.0,6
1017,1009,Carting,5.275961538461539,1.0,4
197,200,Carting,5.244469916717126,1.0,9
712,715,Carting,5.224758011608334,0.9166666666666666,24
222,215,Carting,5.208333333333333,1.0,3
1222,1202,Carting,5.206896551724138,1.0,2
204,196,Carting,5.192337718563209,1.0,36
173,25,Carting,5.17957468280049,1.0,6
1356,1332,Carting,5.133730530518659,1.0,16
1120,1107,Carting,5.083333333333333,1.0,1
713,715,Carting,5.0444290444290445,1.0,5
48,53,Carting,5.038998357963876,1.0,3
332,328,Carting,5.016287878787879,1.0,4
524,523,Carting,5.0,1.0,2
1212,1202,Carting,4.988095238095238,1.0,3
972,963,Carting,4.979166666666666,1.0,2
534,521,Carting,4.944971190425736,1.0,11
862,1319,Carting,4.939221394398397,1.0,14
346,340,Carting,4.934157363104732,1.0,38
170,170,Carting,4.898496240601504,1.0,2
567,566,Carting,4.86060606060606,1.0,2
256,246,Carting,4.8355056128082445,1.0,4
741,742,Carting,4.826180584648326,0.9,10
927,919,Carting,4.804166666666667,1.0,2
668,665,Carting,4.785714285714286,1.0,1
312,311,Carting,4.769230769230769,1.0,6
381,334,Carting,4.764508913737657,1.0,15
1213,1200,Carting,4.757260192297471,1.0,49
1405,1384,Carting,4.734355981947616,1.0,13
1265,1246,Carting,4.734024705453277,1.0,6
1455,1433,Carting,4.714814814814814,1.0,3
539,16,Carting,4.712121212121212,1.0,2
311,304,Carting,4.7120421660050145,1.0,30
216,208,Carting,4.6996336996337,1.0,13
715,208,Carting,4.698342874663162,1.0,21
189,330,Carting,4.689655172413793,1.0,1
848,840,Carting,4.682112068965518,1.0,2
1270,1246,Carting,4.682046568246314,1.0,23
200,200,Carting,4.670945566778901,1.0,9
8,1202,FTL,4.663301568579066,1.0,116
212,209,Carting,4.637619047619047,1.0,25
563,564,Carting,4.628135514560854,1.0,13
1484,1437,Carting,4.612700605264359,1.0,12
366,360,Carting,4.604626022991816,1.0,5
17,1261,Carting,4.5964912280701755,1.0,3
1496,1475,Carting,4.588541666666667,1.0,2
396,65,Carting,4.578774350649351,1.0,6
1380,1377,Carting,4.55129018592663,1.0,26
1019,1010,Carting,4.55,1.0,2
503,499,Carting,4.548787878787879,1.0,5
3,652,Carting,4.5316734417344176,1.0,3
605,598,Carting,4.527198455139632,1.0,34
1449,1424,Carting,4.520689550101315,1.0,9
1297,1282,Carting,4.463876488095238,1.0,32
1460,1443,Carting,4.429347826086956,1.0,3
1376,1354,Carting,4.4275730865475005,1.0,69
1229,1211,Carting,4.4259259259259265,1.0,3
590,591,Carting,4.4115842073013845,1.0,13
1454,1425,Carting,4.404903983728372,1.0,169
774,762,Carting,4.389830508474576,1.0,1
864,862,Carting,4.375,1.0,1
1208,1202,Carting,4.367427073246039,1.0,16
1199,1182,Carting,4.335829493087558,1.0,2
570,559,Carting,4.334821428571429,1.0,4
560,562,Carting,4.331770833333334,1.0,8
1289,1275,Carting,4.330086903718618,1.0,25
28,32,Carting,4.325,1.0,3
1353,1202,FTL,4.318233091068852,1.0,38
374,360,Carting,4.30919879913688,1.0,6
6,745,Carting,4.28435548557006,1.0,39
930,916,Carting,4.283117373688082,1.0,19
497,491,Carting,4.25,1.0,1
1306,1292,Carting,4.238095238095237,1.0,9
1497,1472,Carting,4.236111111111111,1.0,3
605,599,Carting,4.235294117647059,1.0,1
1390,1369,Carting,4.230769230769231,1.0,1
318,315,Carting,4.230769230769231,1.0,4
1492,1475,Carting,4.2191229803758405,1.0,5
913,891,Carting,4.218549127640037,1.0,11
284,79,Carting,4.217346246477603,1.0,4
750,730,Carting,4.211154401154401,1.0,15
