source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,corridor
IND571105AAA,IND571114AAA,4.804166666666667,23.17670138888889,27.1432,116.0,1.0,2,9.174677083333334,IND571105AAA → IND571114AAA
IND580002AAA,IND580028AAA,4.979166666666666,17.75086805555555,23.8393,112.5,1.0,2,7.616927083333332,IND580002AAA → IND580028AAA
IND847223AAA,IND842001AAA,6.733670434098066,14.155115748598725,71.45336,417.0,1.0,10,7.240002898218844,IND847223AAA → IND842001AAA
IND521225AAB,IND521165AAA,4.682112068965518,16.46934685270511,31.019849999999998,124.0,1.0,2,7.11364888339774,IND521225AAB → IND521165AAA
IND521165AAA,IND521225AAB,5.722482517482518,14.034273602621155,32.624674999999996,155.0,1.0,4,6.799275087779353,IND521165AAA → IND521225AAB
IND221010AAB,IND233001AAA,6.015459656084656,13.171232679350032,50.8763,274.5,1.0,4,6.657553666238872,IND221010AAB → IND233001AAA
IND695101AAB,IND695012AAA,4.335829493087558,14.891461514366414,30.86085,132.0,1.0,2,6.501770251544947,IND695101AAB → IND695012AAA
IND147101AAA,IND160002AAC,5.843750347048697,12.507558037387916,57.302666666666674,279.6666666666667,1.0,3,6.389767550035853,IND147101AAA → IND160002AAC
IND841101AAA,IND841207AAB,4.714814814814814,13.773621399176953,21.911233333333332,70.33333333333333,1.0,3,6.318012345679012,IND841101AAA → IND841207AAB
IND110037AAM,IND110064AAA,4.325,13.70671875,13.774033333333334,80.66666666666667,1.0,3,6.142015625,IND110037AAM → IND110064AAA
IND847226AAA,IND842001AAA,6.710349879914999,10.504117183417097,87.88074461538463,500.16923076923075,1.0,65,6.135375106991129,IND847226AAA → IND842001AAA
IND147105AAA,IND160002AAC,5.533737535423779,10.615029863137101,72.60383684210527,386.6842105263158,1.0,19,5.698003973110642,IND147105AAA → IND160002AAC
IND431131AAB,IND431603AAA,8.022449477413074,6.695095022771604,118.46552857142856,746.8571428571429,1.0,7,5.517508297796711,IND431131AAB → IND431603AAA
IND208006AAA,IND209304AAA,5.244469916717126,10.168674703039935,24.243566666666666,122.55555555555556,1.0,9,5.44839037759883,IND208006AAA → IND209304AAA
IND208019AAA,IND209304AAA,4.670945566778901,10.750036545395734,16.79031111111111,68.88888888888889,1.0,9,5.39338919033028,IND208019AAA → IND209304AAA
IND673027AAB,IND673305AAA,3.437235117223064,12.787145854033342,27.772088888888888,130.11111111111111,0.4444444444444444,9,5.344371136432562,IND673027AAB → IND673305AAA
IND175015AAA,IND174001AAA,5.790445052428279,8.659895749193206,90.13607804878049,682.439024390244,1.0,41,5.214146745729273,IND175015AAA → IND174001AAA
IND221313AAA,IND221010AAA,5.208333333333333,9.286458333333332,10.248033333333334,36.666666666666664,1.0,3,5.169270833333333,IND221313AAA → IND221010AAA
IND395009AAA,IND395023AAD,8.345554717613542,4.409385102008849,17.1566,138.8,1.0,15,4.961037417648072,IND395009AAA → IND395023AAD
IND201007AAB,IND201007AAA,4.035714285714286,10.083333333333334,11.77685,56.5,1.0,4,4.939285714285714,IND201007AAB → IND201007AAA
