source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,estimated_revenue_risk
927,919,4.804166666666667,23.17670138888889,27.1432,116.0,1.0,2,9.174677083333334,1000.0
972,963,4.979166666666666,17.75086805555555,23.8393,112.5,1.0,2,7.616927083333332,1000.0
1479,1437,6.733670434098066,14.155115748598725,71.45336,417.0,1.0,10,7.240002898218844,5000.0
848,840,4.682112068965518,16.46934685270511,31.019849999999998,124.0,1.0,2,7.11364888339774,1000.0
845,843,5.722482517482518,14.034273602621155,32.624674999999996,155.0,1.0,4,6.799275087779353,2000.0
220,237,6.015459656084656,13.171232679350032,50.8763,274.5,1.0,4,6.657553666238872,2000.0
1199,1182,4.335829493087558,14.891461514366414,30.86085,132.0,1.0,2,6.501770251544947,1000.0
116,135,5.843750347048697,12.507558037387916,57.302666666666674,279.6666666666667,1.0,3,6.389767550035853,1500.0
1455,1433,4.714814814814814,13.773621399176953,21.911233333333332,70.33333333333333,1.0,3,6.318012345679012,1500.0
28,32,4.325,13.70671875,13.774033333333334,80.66666666666667,1.0,3,6.142015625,1500.0
1480,1437,6.710349879914999,10.504117183417097,87.88074461538463,500.16923076923075,1.0,65,6.135375106991129,32500.0
117,135,5.533737535423779,10.615029863137101,72.60383684210527,386.6842105263158,1.0,19,5.698003973110642,9500.0
634,640,8.022449477413074,6.695095022771604,118.46552857142856,746.8571428571429,1.0,7,5.517508297796711,3500.0
197,200,5.244469916717126,10.168674703039935,24.243566666666666,122.55555555555556,1.0,9,5.44839037759883,4500.0
200,200,4.670945566778901,10.750036545395734,16.79031111111111,68.88888888888889,1.0,9,5.39338919033028,4500.0
1154,1141,3.437235117223064,12.787145854033342,27.772088888888888,130.11111111111111,0.4444444444444444,9,5.344371136432562,2000.0
148,143,5.790445052428279,8.659895749193206,90.13607804878049,682.439024390244,1.0,41,5.214146745729273,20500.0
222,215,5.208333333333333,9.286458333333332,10.248033333333334,36.666666666666664,1.0,3,5.169270833333333,1500.0
508,508,8.345554717613542,4.409385102008849,17.1566,138.8,1.0,15,4.961037417648072,7500.0
171,169,4.035714285714286,10.083333333333334,11.77685,56.5,1.0,4,4.939285714285714,2000.0
1481,1437,6.971503043912582,5.866444977502575,87.4781945945946,468.2972972972973,1.0,37,4.848534710815805,18500.0
741,742,4.826180584648326,8.805287249761578,26.54839,109.2,0.9,10,4.842058408787803,4500.0
1217,1201,6.402502760397498,6.368576943464105,16.222140000000003,102.2,1.0,5,4.7715741871982305,2500.0
21,551,3.744871794871795,9.90993918474688,17.0036,49.6,1.0,5,4.770930473372783,2500.0
46,46,3.926370688135394,9.303673920156083,13.64759090909091,46.36363636363637,1.0,11,4.661650451300982,5500.0
213,208,6.421768707482992,5.90395711856171,16.43307142857143,84.78571428571429,1.0,14,4.63989461856171,7000.0
374,360,4.30919879913688,8.571491236871886,36.019200000000005,131.0,1.0,6,4.595126890716317,3000.0
1305,1297,6.055562224889956,6.094634760533533,38.89928571428572,189.14285714285714,1.0,7,4.5506153181160425,3500.0
278,277,5.448916860916861,6.865547689280098,21.28245,143.5,1.0,10,4.539231051150773,5000.0
550,550,3.185841759571342,9.859120707894293,25.456025,96.25,1.0,4,4.5320729161968245,2000.0
61,408,3.3393508198556625,9.606812222863473,59.497475,226.0,1.0,4,4.517783994801307,2000.0
1364,1343,3.7083333333333335,8.755208333333334,16.651966666666667,50.666666666666664,1.0,3,4.409895833333334,1500.0
6,745,4.28435548557006,7.93333889923327,24.012310256410256,102.92307692307692,1.0,39,4.393743863998004,19500.0
1232,1202,6.989339218086123,4.102055045379977,111.65094210526317,588.1578947368421,1.0,19,4.326352200848442,9500.0
284,79,4.217346246477603,7.795796472658811,82.793925,354.0,1.0,4,4.325677440388684,2000.0
532,520,9.0,1.3888888888888908,13.96195,108.0,1.0,2,4.316666666666667,1000.0
505,508,8.167582417582418,2.491924284506703,14.21807,113.4,1.0,10,4.314610252384978,5000.0
1469,1437,6.206749014742373,5.027935809411269,53.769975,240.75,1.0,4,4.29108034872033,2000.0
366,360,4.604626022991816,7.107634262725506,64.22996,246.4,1.0,5,4.274140688014379,2500.0
1460,1443,4.429347826086956,7.251033790170132,49.63053333333334,196.66666666666666,1.0,3,4.2470492674858225,1500.0
1451,1432,6.36152081182499,4.591894153383073,58.87272222222222,312.962962962963,1.0,54,4.222176570744917,27000.0
114,135,3.172391012345647,9.147093667421062,43.108984615384614,108.84615384615384,0.6923076923076923,13,4.220776812856885,4500.0
1306,1292,4.238095238095237,7.354830994897958,10.54651111111111,32.0,1.0,9,4.201687393707482,4500.0
507,508,8.002777777777778,2.3150231481481485,16.885566666666666,122.33333333333333,1.0,3,4.195618055555556,1500.0
1229,1228,3.98990990990991,7.971581105429754,48.39116666666667,196.33333333333334,0.6666666666666666,3,4.18743829559289,1000.0
528,603,3.8812552213868003,7.781476203693235,22.423083333333334,69.0,1.0,6,4.18694494966269,3000.0
1497,1472,4.236111111111111,7.292245370370369,25.0829,74.66666666666667,1.0,3,4.182118055555556,1500.0
1208,1202,4.367427073246039,6.913976956758202,23.000725,98.9375,1.0,16,4.121163916325877,8000.0
750,730,4.211154401154401,6.91761243910525,14.401586666666667,59.93333333333333,1.0,15,4.059745492193335,7500.0
1355,1332,3.544117647058824,7.70826124567474,38.68156666666667,125.0,1.0,3,4.030125432525952,1500.0
