node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND000000ACB,45,49,0.21791981684024062,0.010136936325719999,14.79020900763381
IND562132AAA,36,35,0.12427706455974705,0.00903830176346258,10.552422316352938
IND421302AAG,29,29,0.06773664278230872,0.006478809352767641,8.729038299918754
IND160002AAC,32,29,0.054453316934326666,0.008805306336380742,8.724422918674644
IND501359AAE,30,27,0.09216818474729699,0.008411530175273444,8.139390732951501
IND110037AAM,21,24,0.04055500602965449,0.005182088570680551,7.217776628983065
IND712311AAA,22,22,0.08849823810724092,0.006705768823345293,6.637411025889899
IND131028AAB,20,20,0.047590706510366884,0.005589206755997987,6.020713044630946
IND411033AAA,23,20,0.04301319183035611,0.006306391863262679,6.019097194291121
IND600056AAB,18,18,0.0419354661892961,0.004225621360497638,5.418041872883867
IND560099AAB,11,18,0.0034604816674133326,0.0022265659754879016,5.402052162459611
IND781018AAB,17,15,0.043573027320390305,0.00432115335785989,4.5187255569355145
IND842001AAA,12,15,0.024553759205167988,0.005110790697951582,4.511354740891453
IND209304AAA,16,13,0.03899403334401879,0.005100822686210022,3.9171278601434705
IND382430AAB,17,13,0.03152025953124697,0.00381031472500328,3.9137511982299995
IND560300AAA,4,12,0.005605152089942851,0.0009066716264680778,3.6025140623239174
IND302014AAB,9,12,0.00010350899138351654,0.0033076680937526863,3.6010337040246787
IND530012AAA,10,11,0.01770951061095161,0.0029582760272080983,3.307971287052543
IND713205AAB,7,11,0.014355563260818518,0.0029380997808365556,3.306623655238578
IND400072AAB,11,11,0.005069512059852782,0.0020334542361702215,3.302637841094792
IND462022AAA,13,9,0.02851548554005352,0.004512373229092167,2.7127599061847487
IND826004AAA,7,9,0.010192624258947557,0.002412612566099356,2.7048008334734086
IND000000ACA,13,9,0.008023958491065674,0.003112055189297526,2.704143199953215
IND424006AAA,2,9,0.0020456741653993213,0.00034028484205036563,2.7009203551187744
IND302014AAA,10,8,0.040291202765513026,0.0029808984300105706,2.417010750635208
IND854326AAB,8,8,0.018928831899203455,0.0017724153847237308,2.4081032573750982
IND580028AAA,9,8,0.01357766088211114,0.003791325577194842,2.406568462026003
IND395023AAA,8,8,0.013645973080253573,0.0018105085110951327,2.4060015417854297
IND521225AAB,8,8,0.012138524935390967,0.0027923157383224362,2.405693104695653
IND505001AAB,11,8,0.01158038844766505,0.002759694894682749,2.4054600638474706
IND518002AAA,10,8,0.00999812732849511,0.0028657129150967855,2.404858964805927
IND125001AAA,7,8,0.008934319624642147,0.0030506022950063734,2.4044889085383585
IND533106AAA,8,8,0.0062110073963316526,0.0019444555434652898,2.403067739621572
IND000000AFT,5,8,0.004816277026636557,0.0012959287686708633,2.4023152894412556
IND641062AAD,7,8,9.363357524445312e-05,0.0031894556065593977,2.4009942901120653
IND683511AAA,13,7,0.02268492813988856,0.0029752170017485224,2.10996653635648
IND244901AAB,10,7,0.013963777461276786,0.003996773126132279,2.1067845429223504
IND575004AAB,6,7,0.0135169960769016,0.0016307305438688234,2.1058960175939214
IND842003AAB,4,7,0.011188846485558849,0.0025011260337398145,2.1052258764043454
IND786001AAB,6,7,0.011185554680179162,0.0021101036265468893,2.105107252960036
IND834002AAB,5,7,0.007851675150990233,0.0016074998484820104,2.103622920014941
IND263153AAB,6,7,0.007212162708819332,0.00198865091308032,2.103481460357452
IND121004AAB,8,7,0.004468641246301956,0.0017243713831492618,2.1023047679134654
IND507002AAA,5,7,0.004593059965094351,0.0014539158016661298,2.102273398726538
IND152026AAA,6,7,0.004226312351365843,0.0015647537145539138,2.1021599510549125
IND751002AAB,13,6,0.021370723905996074,0.0029092657383219173,1.8094210692838948
IND515004AAA,6,6,0.012819936051194157,0.002571585355216332,1.8058994500270424
IND332001AAB,3,6,0.009606219610235613,0.0015920994079383032,1.8043201176664756
IND742101AAC,6,6,0.00911159537225804,0.0018353076071208686,1.8041952304310394
IND384205AAA,6,6,0.008407636695875952,0.0019495343464264946,1.8039479149822781
IND474003AAA,8,6,0.007753959911244566,0.002021249942263049,1.8037079589471765
IND403726AAA,4,6,0.007740830095590158,0.0015010494398523774,1.8035466468701915
IND273014AAB,6,6,0.00610904215047062,0.0026561696179324278,1.8032404677455678
IND110044AAB,2,6,0.0026035132585386384,0.0003935115888592413,1.801159458780073
IND573201AAB,4,5,0.013164006388593165,0.0015242350181245213,1.5057228730608747
IND416012AAA,5,5,0.010460756891671771,0.0020044429982064385,1.5047856356561307
IND821115AAB,6,5,0.009110982295277324,0.002156246757041065,1.5042912669452233
IND313001AAB,4,5,0.008779037685807168,0.0019207282168542219,1.504087833539379
IND523002AAA,4,5,0.006592322722607991,0.0020383259521750204,1.5032484268746957
IND221313AAA,1,5,0.00764430360394168,0.0004297430511626793,1.5031866443569255
IND585104AAA,5,5,0.006410242342712052,0.0016939448103233579,1.503072280380182
IND205001AAB,3,5,0.00640804780579226,0.0012069172094403484,1.502925294285149
IND742102AAB,5,5,0.005636789997203171,0.0015398782278476496,1.5027166794672355
